"time","EU","EU27_2020","EU28","EA","EA20","EA19","BE","BG","CZ","DK","DE","EE","IE","EL","ES","FR","HR","IT","CY","LV","LT","LU","HU","MT","NL","AT","PL","PT","RO","SI","SK","FI","SE","EEA","IS","NO","CH","UK","ME","MK","AL","RS","TR","XK","US"
2013-11-01,-1.4,-1.5,-1.4,-1.5,-1.5,-1.5,-1.3,-0.1,-0.8,-1.1,-2,-0.5,-1.9,-1,-1.2,-1.2,-1.6,-1.6,-1.5,-0.7,-2.1,-1.7,-1.9,0,-1.2,-1.5,-2,-0.6,-0.8,-1.1,-2,-1.8,-0.1,-1.4,-1.1,-0.9,-1.7,-1.2,NA,-1.4,NA,-0.7,0.1,NA,NA
2013-12-01,1,1.1,1,1.1,1.1,1.1,1.7,1.7,1.4,-0.2,0.9,1.6,0.8,0.6,1.1,1.3,1.2,1.6,0.1,1.1,-1.6,1.6,2.5,0,0.8,0.9,0.4,1.3,0.7,1.3,0.6,0.2,0.5,1,1.3,0.4,1.2,0.6,NA,1.2,NA,0.2,4.8,NA,NA
2014-01-01,-0.7,-0.7,-0.7,-0.8,-0.7,-0.7,-1.5,-0.5,0.4,0.1,-2.2,-0.6,-0.9,-0.2,-0.7,-0.2,-0.1,0.3,4.3,0,0.5,-0.2,-1,0.5,0.8,-1.1,-1.2,-0.5,2,-0.2,-0.5,0.7,-1.3,-0.7,-2.5,1.9,0.2,-0.6,NA,0.1,NA,1.4,1.4,NA,NA
2014-02-01,0,0,0,0,0,0,0,-2.7,-0.3,0.9,0.6,1.1,-0.3,0.2,-0.2,0.1,-0.7,-1,0.3,0.6,0.7,-0.4,1.4,0,0.2,0.1,0.3,-0.6,0.9,-1,-0.5,-0.1,0.9,0,1.6,-0.5,-0.2,-0.5,NA,-1,NA,0.3,-0.4,NA,NA
2014-03-01,-0.4,-0.4,-0.4,-0.6,-0.6,-0.6,-0.6,-1,-0.8,-0.8,-0.6,-1.4,0.2,0.1,-0.6,-0.9,1.2,-0.4,0.7,0.3,-0.3,-0.2,0.9,0,-0.7,-0.4,0.4,-0.5,0.2,0.7,-0.4,-0.9,-0.1,-0.4,-2.2,-1.1,-0.6,-0.2,NA,-0.3,NA,-0.1,-1.4,NA,NA
2014-04-01,0.4,0.5,0.4,0.4,0.4,0.4,-0.4,0.1,-0.2,1.3,1.5,0.3,-0.3,0.2,0.4,-0.3,-0.3,-0.3,-0.1,-0.8,-0.4,0.3,-0.1,0.9,1.8,-0.1,-1,0.6,5.9,0.5,0.1,0.5,2.5,0.4,2.6,-0.4,0.3,-0.2,NA,-1.3,NA,0.1,-2.9,NA,NA
2014-05-01,0.1,0.1,0.1,0.2,0.2,0.2,0.4,-1.1,0.6,-0.4,0,-0.8,0.4,0.1,0.3,0.1,2.6,0.2,0.4,0,-0.3,0.2,-0.6,-0.9,0.3,0.4,0.2,0,-0.5,1.2,2.7,-0.1,-0.6,0.2,-0.1,1.9,0.9,0.2,NA,1.8,NA,-1,-1.8,NA,NA
2014-06-01,0.6,0.6,0.6,0.7,0.7,0.7,0.7,-1.2,0.9,2.1,1.1,1.3,0.3,0.4,1,0.3,0.2,0.2,0.2,0.3,-0.3,0.7,0.8,0,1.3,0.8,-0.2,0.2,0.5,0.3,0.8,0.9,1.5,0.6,0.8,-0.6,0.3,0.2,NA,0.8,NA,0,1.4,NA,NA
2014-07-01,0.3,0.3,0.3,0.1,0.2,0.1,1.3,2.8,1.2,-1,-0.4,0.1,1.5,0.4,-0.1,0.2,1.9,0.8,0.9,0.8,-0.1,0.6,1.8,0,-0.4,-0.3,1.5,0.1,0.3,0.6,0.5,1.3,0.4,0.3,1.4,2,0.1,0.5,NA,1.9,NA,1.2,1.1,NA,NA
2014-08-01,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.5,-0.2,-0.3,-1.5,-1.3,-2.4,-0.9,-0.8,-1,-1.2,-1.3,-0.6,-1,-2,0.2,-1.6,-1.8,0,-1.7,-1.3,-0.4,-1.6,-0.9,-1.7,-1.5,-0.9,-1.8,-1.1,-2.1,-0.8,-0.8,-1.4,NA,-2.9,NA,0.1,-1.4,NA,NA
