"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","country"
"kappa10",0.0272268443427774,0.000307108999634944,0.0149462458067704,0.00209615753657043,0.0159542628791103,0.0264805111059946,0.0372698955646848,0.0580293017401059,2368.53144088266,1.00108867889145,"DE"
"sigma10",0.52553597208488,0.000618889383000854,0.0358492108848359,0.461630551022773,0.500348962842536,0.523304954414084,0.547895530215613,0.602438884116996,3355.31374428646,1.00134866654539,"DE"
"beta11",0.541048037158623,0.00292963154693786,0.184017359309705,0.183561874497755,0.409274985690228,0.544755477025105,0.674535669735387,0.883269035450596,3945.40491482938,1.0010779549174,"EL"
"kappa11",0.0430461304450252,0.000310395338476475,0.0181398103492053,0.0092197583343261,0.0302324515017448,0.0424758875171308,0.055343456035181,0.0795485554391099,3415.34911533608,1.00006815360476,"EL"
"sigma11",1.80717203376673,0.00196201510197135,0.123372362875686,1.58281978936268,1.72208482668744,1.80143263619393,1.88339781135383,2.06745460721655,3953.94909214654,1.00023841552822,"EL"
"beta12",0.496610466685474,0.000910326379620331,0.061592068932056,0.374394778935348,0.455821154268698,0.495915997194954,0.538244909888258,0.619995069704482,4577.78434229009,1.00019592967223,"HU"
"kappa12",0.0476614254152492,0.000334259329078167,0.0172444051267706,0.0144727383473836,0.0358903781019033,0.0479949315520607,0.0593479893025907,0.081138132915601,2661.5177096429,1.00200218859214,"HU"
"sigma12",0.7189328801322,0.000691709791587341,0.0491730438748173,0.63090467549464,0.683788542892322,0.715950516799844,0.750649145037645,0.820726685277252,5053.66370085868,1.00112951106282,"HU"
"beta13",0.483237675143303,0.00178131824837452,0.112602343434046,0.263912813721965,0.408987389075444,0.48388489695618,0.556749987116345,0.70645179854161,3995.87435536637,1.0007516283571,"IE"
"kappa13",0.030284644461577,0.000253462908258367,0.013915801355768,0.00532893312280704,0.0201987033979069,0.0295950951377476,0.0395975875112897,0.0591578239082823,3014.30791534423,1.00035517853032,"IE"
"sigma13",0.719857666394628,0.00081586285335,0.0490518444641945,0.631172463877058,0.68541969847596,0.716874342235274,0.751017299148595,0.824181233983299,3614.7341755569,0.999646576403758,"IE"
"beta14",0.507660190744294,0.00306553821007906,0.207941943122274,0.114614437666224,0.358089761329402,0.507595278117028,0.660164113429144,0.895563845624012,4601.1959457147,1.0012706920764,"IT"
"kappa14",0.0447043209618509,0.000332828296753066,0.0186565387606082,0.0100561341544402,0.0313398264331881,0.0446388114772693,0.0576012993832091,0.0827417103935983,3142.11202290093,1.00012352837837,"IT"
"sigma14",1.77157555076467,0.00185218513601067,0.117309122209325,1.56455011657861,1.68886677650712,1.76408636145011,1.84660133469813,2.01868954333593,4011.38901582957,1.00052896156351,"IT"
"beta15",0.500965948675836,0.00105381405982033,0.0636500323116007,0.378261775620836,0.457777018129927,0.50102714768982,0.543593826771357,0.626862539742702,3648.12138066403,1.00047284428821,"LV"
"kappa15",0.0251828027435887,0.000246739215787496,0.0122622339844824,0.00273430428396414,0.0162577779288745,0.0247929465268985,0.0335236711680329,0.0495621544371934,2469.80597957508,1.00173209969151,"LV"
"sigma15",0.683440219787724,0.000788746909064335,0.0463895232800447,0.601092910833856,0.650527815752403,0.681307120200002,0.713280281404206,0.78235524121271,3459.11084060449,1.0002630328934,"LV"
"beta16",0.486700211611394,0.0013911908543614,0.0840000699699594,0.323759333021831,0.430635085901502,0.484495698224279,0.543034325880858,0.65389372622174,3645.74146462599,1.00072385257863,"LT"
"kappa16",0.0323077855657054,0.000319313643089492,0.0156864839681587,0.00401467148545955,0.0209254759255224,0.0316341076878726,0.0427548525977446,0.0647683302161468,2413.32754867936,1.00042076108149,"LT"
"sigma16",0.754438265245416,0.00083052236539485,0.0508756243412071,0.66207993346697,0.718895618818377,0.752033352031719,0.787743451273404,0.861094477725622,3752.46663481065,1.00110533579641,"LT"
"beta17",0.501631977465306,0.00251869380357896,0.172767324993068,0.164198277319304,0.38015776213062,0.501479887239623,0.620840538054423,0.835484346647112,4705.13913620063,1.00006289709407,"LU"
"kappa17",0.0471126954281975,0.000371127539494562,0.0186795650852805,0.00973940088176158,0.0344663575873349,0.0470512698426777,0.0595868055208665,0.0846179238066141,2533.30310873027,1.00154402546834,"LU"
"sigma17",1.07713668299167,0.00112109874268729,0.073608050283723,0.945611608421223,1.02516183054938,1.07292789478586,1.12488248758334,1.2283763686277,4310.84986391011,1.00091590118012,"LU"
"beta18",0.504291626031659,0.00125703485274844,0.0771079541383134,0.353287062227698,0.452275667328947,0.503575153795742,0.556356050991371,0.658200130636042,3762.73577378521,0.999867416809952,"MT"
"kappa18",0.0475649167477664,0.000348131778831792,0.0194736646930597,0.0100620674173842,0.0340262915496812,0.0472353945139096,0.0608151154486447,0.0862725177596209,3129.01782578525,1.00018329440001,"MT"
"sigma18",2.09328831404808,0.0024783823205805,0.154257189882967,1.81705698557538,1.98471089246397,2.08537384093129,2.19028339961011,2.41846032230817,3873.95191887703,1.00030194868406,"MT"
"beta19",0.49617568189617,0.00120937658801821,0.0747621501303104,0.352690194613243,0.44503691946161,0.496376463408831,0.546754396129312,0.639291203278077,3821.55797217217,0.999925565125102,"NL"
"kappa19",0.0386165380792653,0.000333681917298311,0.0174854566646685,0.00620003350142655,0.0262679367883467,0.0381556778863776,0.0507513121645607,0.0733138201804151,2745.92463822544,1.00093331229962,"NL"
"sigma19",0.779248659997506,0.000857362185750223,0.0525900954421132,0.683367149913331,0.742572473206927,0.776606289485708,0.812932307763268,0.888236029371095,3762.52390767426,1.00071498482321,"NL"
"beta20",0.518173680541173,0.00091007086852629,0.0617996794386206,0.394495459219268,0.476291761018857,0.517751747115353,0.559563340525733,0.638402015294948,4611.28557980015,1.00039812960366,"PL"
"kappa20",0.0424041676364673,0.000296132794996744,0.0172781532638984,0.00997206257194845,0.0301435372026556,0.0420312697653509,0.0542245763897254,0.0770152329058336,3404.25146299512,1.00130455877913,"PL"
"sigma20",0.587502338876932,0.000629245176548958,0.0396510069152426,0.515419932370099,0.56002458211276,0.585968423346851,0.612919984497077,0.670696453417078,3970.71439747737,1.00107658563672,"PL"
"beta21",0.492990607120669,0.00196546391725389,0.134292943334089,0.228100719458876,0.401075936115483,0.49200162905786,0.583817090013962,0.756420286836323,4668.48786634978,0.999692913146291,"PT"
"kappa21",0.0331618837020141,0.000288913144130276,0.0160595603102464,0.00469776986040053,0.0213945134782755,0.0324879827887862,0.0438205411551258,0.0669683505447437,3089.81658698604,1.00073299484615,"PT"
"sigma21",1.03388865864673,0.00104956161315149,0.0706583424319856,0.906248604015511,0.984655403261276,1.02932832027092,1.07797943866812,1.18260027790913,4532.22031960406,1.00088321343217,"PT"
"beta22",0.534661051412279,0.00123900945172342,0.0839871168658073,0.367166864762218,0.480832751500313,0.533901605012862,0.590335490545245,0.696505537450078,4594.90045420116,0.999754189603568,"RO"
"kappa22",0.0453791538716573,0.000439298295122886,0.01920070048149,0.00654733892665175,0.0325010486665959,0.0455920873265423,0.0584089279593229,0.0835887396116286,1910.35953465224,0.99994877102202,"RO"
"sigma22",1.53198853699843,0.00161791505717944,0.103425504310769,1.34144614821186,1.46098453671857,1.52782961560027,1.59880199728825,1.74920933042051,4086.4280892951,0.999614290748941,"RO"
"beta23",0.492187981730244,0.00139231782471447,0.0846660109098815,0.329772056622146,0.434331429187844,0.491625773502788,0.549624443740722,0.656856810478202,3697.78307417594,1.00026345817991,"SK"
"kappa23",0.0472461500670533,0.000426473255723748,0.019067637025412,0.00980686690946895,0.033886110703863,0.0470570068928445,0.0600197481255385,0.0856543178768687,1998.98782421728,1.00087920762355,"SK"
"sigma23",1.26133846691688,0.00132916600612731,0.0859669532624212,1.10482900197187,1.20261396553372,1.2559549159604,1.31491472150294,1.44429175951808,4183.16138164891,0.999994666994546,"SK"
"beta24",0.515941733707894,0.00180832763702441,0.127610293999153,0.268204166004762,0.430387264231531,0.516146163248706,0.601287461742854,0.768216347893245,4979.86052112778,1.00040326124744,"SI"
"kappa24",0.0418584240726711,0.000374104463989016,0.0173511355564455,0.00752838415023708,0.0299535398011703,0.0415354928968503,0.0533971457243622,0.0768033932604562,2151.14668017118,0.999865230398458,"SI"
"sigma24",0.89069247507219,0.000883626123439016,0.0601940898185544,0.784755761018378,0.847604951265152,0.88722836039185,0.929507691746561,1.01875119704359,4640.56232975699,0.99988558764378,"SI"
"beta25",0.503780642376415,0.00305935779565892,0.213261712234809,0.0986012611001858,0.348650778828033,0.503389365907781,0.658418628688019,0.903319240182231,4859.20521911399,1.00045458874627,"ES"
"kappa25",0.0419879860281442,0.000374680389785154,0.0188770232709836,0.00652537409328224,0.0284961242879509,0.0418583198329545,0.0545467658622785,0.0809455638749283,2538.31254219092,1.00066998939508,"ES"
"sigma25",1.66979981968083,0.00164647000444956,0.110174967504252,1.46962824374474,1.59256921162195,1.66421506629523,1.74078277121041,1.90155527586534,4477.73322929538,1.00033900206718,"ES"
